post_uri,reply_uri,doi,kind,notice_type,replied_at
at://did:plc:hmt35iutbefnv4cxst3cf22v/app.bsky.feed.post/3mqp5sd53bs2g,at://did:plc:iu5ihq2jtqp3axwj4qw5hyc4/app.bsky.feed.post/3mqpb7to7bu2l,10.1207/s15324834basp2504_5,replication,,2026-07-15T17:38:45Z
at://did:plc:hmt35iutbefnv4cxst3cf22v/app.bsky.feed.post/3mqqowfllus2a,at://did:plc:iu5ihq2jtqp3axwj4qw5hyc4/app.bsky.feed.post/3mqqoysw6as24,10.1006/obhd.1998.2802,retraction,Retraction,2026-07-16T07:18:04Z
